"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"0400000US06","California","78672","270",
"1400000US06001400100","Census Tract 4001, Alameda County, California","220921","25969",
"1400000US06001400200","Census Tract 4002, Alameda County, California","200192","23361",
"1400000US06001400300","Census Tract 4003, Alameda County, California","118695","23530",
"1400000US06001400400","Census Tract 4004, Alameda County, California","137067","5162",
"1400000US06001400500","Census Tract 4005, Alameda County, California","110052","29999",
"1400000US06001400600","Census Tract 4006, Alameda County, California","135682","21626",
"1400000US06001400700","Census Tract 4007, Alameda County, California","94700","13002",
"1400000US06001400800","Census Tract 4008, Alameda County, California","79091","18314",
"1400000US06001400900","Census Tract 4009, Alameda County, California","78235","14558",
"1400000US06001401000","Census Tract 4010, Alameda County, California","105446","23473",
"1400000US06001401100","Census Tract 4011, Alameda County, California","83649","13646",
"1400000US06001401200","Census Tract 4012, Alameda County, California","98906","13421",
"1400000US06001401300","Census Tract 4013, Alameda County, California","77328","17706",
"1400000US06001401400","Census Tract 4014, Alameda County, California","67863","28379",
"1400000US06001401500","Census Tract 4015, Alameda County, California","70033","9955",
"1400000US06001401600","Census Tract 4016, Alameda County, California","52463","18388",
"1400000US06001401700","Census Tract 4017, Alameda County, California","124007","14068",
"1400000US06001401800","Census Tract 4018, Alameda County, California","72128","17507",
"1400000US06001402200","Census Tract 4022, Alameda County, California","85000","24910",
"1400000US06001402400","Census Tract 4024, Alameda County, California","28114","11279",
"1400000US06001402500","Census Tract 4025, Alameda County, California","31128","15945",
"1400000US06001402600","Census Tract 4026, Alameda County, California","34375","15113",
"1400000US06001402700","Census Tract 4027, Alameda County, California","90625","20349",
"1400000US06001402801","Census Tract 4028.01, Alameda County, California","-","**",
"1400000US06001402802","Census Tract 4028.02, Alameda County, California","12190","2984",
"1400000US06001402900","Census Tract 4029, Alameda County, California","30599","6780",
"1400000US06001403000","Census Tract 4030, Alameda County, California","30219","9954",
"1400000US06001403100","Census Tract 4031, Alameda County, California","120227","14008",
"1400000US06001403301","Census Tract 4033.01, Alameda County, California","22132","19364",
"1400000US06001403302","Census Tract 4033.02, Alameda County, California","148025","30857",
"1400000US06001403401","Census Tract 4034.01, Alameda County, California","74391","9540",
